,name_only,address_only,img_urls,img_files
0,The Ribbon,220 W 44th St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_TheRibbon_1.jpg?itok=fd38CVEL,sitesdefaultfilesstyleslocationteaserpublicdiningtheribbon1.jpg
1,The Stinger,300 W 44th St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_TheStinger1.jpg?itok=ij3MzLtS,sitesdefaultfilesstyleslocationteaserpublicdiningthestinger1.jpg
2,Haru,229 W 43rd St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_Haru_1.jpg?itok=HJAVJtC2,sitesdefaultfilesstyleslocationteaserpublicdiningharu1.jpg
3,Bibble & Sip,253 W 51st St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/BibbleandSip_1-compressor.jpg?itok=4M3pfv1F,sitesdefaultfilesstyleslocationteaserpublicbibbleandsip1compressor.jpg
4,Pure Ktchn,352 W 46th St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Pure%2BKtcnh%2Bfour%2Bbowls.JPG?itok=I3334xe7,sitesdefaultfilesstyleslocationteaserpublicpure2bktcnh2bfour2bbowls.jpg
5,Goldfinch Coffee Shop,224 W 49th St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Goldfinch_1-compressor.jpg?itok=2P1OmiVT,sitesdefaultfilesstyleslocationteaserpublicgoldfinch1compressor.jpg
6,Blue Fin,1567 Broadway,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_BlueFin_1.jpg?itok=Ho6huUrt,sitesdefaultfilesstyleslocationteaserpublicdiningbluefin1.jpg
7,Bond 45,221 W 46th St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_Bond45_1.jpg?itok=m2hmMqBs,sitesdefaultfilesstyleslocationteaserpublicdiningbond451.jpg
8,Charlie Palmer (at Knickerbocker Hotel),6 Times Sq,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/knick245973.jpg?itok=eS9523YQ,sitesdefaultfilesstyleslocationteaserpublicknick245973.jpg
9,Foundry Kitchen & Bar,270 W 43rd St,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Dining_FoundryBar1-compressor.jpg?itok=Rxhcb4Qs,sitesdefaultfilesstyleslocationteaserpublicdiningfoundrybar1compressor.jpg
