Address Only,Name Only,Lat,Long
"South Craig Street, Pittsburgh, PA",Fuku Tea,40.4414919,-79.95
"Shady Ave, Pittsburgh, PA",Hidden Harbor,40.4376377,-79.92
"5889 Forbes Ave, Pittsburgh, PA",Dunkin,40.4378969,-79.9205469
washington dc,Mama's Pizza Kitchen,38.8658091,-76.9892111
"Chappie James Blvd Bldg. 4514, Washington, DC 20032",Subway,38.8414936,-77.0176242
"2200 Martin Luther King Jr Ave SE, Washington, DC 20020",Uniontown Bar & Grill,38.864746,-76.989589
"2323 Martin Luther King Jr Ave SE, Washington, DC 20020",Z Mart And Food,38.8631674,-76.9920227
"1217 Valley Ave SE, Washington, DC 20032",Wheeler Terrace Apartments,38.8372737,-76.98923
"2532 Southern Ave SE, Washington, DC 20020",WC Smith - Shipley Park,38.8476036,-76.9684563
"2000 Ridgecrest Ct SE, Washington, DC 20020",WC Smith - Ridgecrest Village,38.8478171,-76.975036
"2629 Douglass Rd SE, Washington, DC 20020",Washington View Apartments,38.8570427,-76.9896109
"821 Howard Rd SE, Washington, DC 20020",Washington DC Mental Health,38.8637829,-76.9980807
"718 Mississippi Ave SE, Washington, DC 20032",Ward 8 Tennis Council,38.8387894,-76.9951073
"3401 4th St SE, Washington, DC 20032",Waldorf Holiday Hoops Classic,38.8393559,-77.0014226
"1247 W St SE, Washington, DC 20020",Unifest,38.8645182,-76.9882904
"2025 Martin Luther King Jr Ave SE, Washington, DC 20020",Turning Natural,38.8662869,-76.9892765
"1910 23rd St SE, Washington, DC 20020",Tree Park,38.8655072,-76.9718493
"1400 Good Hope Rd SE, Washington, DC 20050",Tony's Place,38.8669173,-76.9849187
"3940 2nd St SW, Washington, DC 20032",Theatre Threads,38.833376,-77.0107255
"2020 Shannon Pl SE, Washington, DC 20020",Theater Alliance,38.8665291,-76.9899647
"1901 Mississippi Ave SE, Washington, DC 20020",THEARC: Town Hall Education Arts Recreation Campus,38.8436828,-76.9748734
"Washington, DC 20032",THEARC Farm,38.8429226,-76.9762148
"201 McChord St, Washington, DC 20032",The United States Air Force Band,38.8403451,-77.013549
"2516 Sheridan Rd SE, Washington, DC 20020",The Lofts at Sheridan Station a WC Smith Community,38.8601283,-76.9934089
"1606 17th St SE, Washington, DC 20020",The House DC,38.8709418,-76.9799842
"1231 Good Hope Rd SE, Washington, DC 20020",The HIVE 2.0,38.867092,-76.9874657
"1231 Good Hope Rd SE, Washington, DC 20020",The HBC Theater Company,38.8671111,-76.9875776
"1231 Good Hope Rd SE B, Washington, DC 20020",The Essential Theatre,38.8671117,-76.9875813
"1801 28th Pl SE #5, Washington, DC 20020",the Dopamine Clinic,38.8683679,-76.9668948
"1001-1199 V St SE, Washington, DC 20020",The Big Chair,38.8654151,-76.9896927
"1901 Mississippi Ave SE, Washington, DC 20020",The ARC - Boys and Girls Club,38.8436828,-76.9748734
"2311 Shannon Pl SE, Washington, DC 20020",Sutton Dj Services,38.8639051,-76.9925061
"Good Hope Rd SE, Washington, DC 20020","SumKindaNiceEntertainment , Llc.",38.8655152,-76.9783604
"2861 Alabama Ave SE, Washington, DC 20020",Subway,38.8601613,-76.9653239
"1551 Alabama Ave SE, Washington, DC 20020",Subway,38.8462364,-76.9809344
"1412 Good Hope Rd SE, Washington, DC 20020",Subway,38.8667861,-76.9846448
"200 MacDill Blvd SE, Washington, DC 20032",Subway,38.8480643,-77.0123145
"Building 52, Joint Base Anacostia Bolling, Washington, DC 20032",Stewart Theater,38.845681,-77.0097469
"2228 Martin Luther King Jr Ave SE, Washington, DC 20020",Starbucks,38.8633604,-76.9906709
"195 Chappie James Blvd Bldg 4570, Washington, DC 20032",Starbucks,38.8435193,-77.0178576
"Washington, DC 20032",St. Elizabeth Hospital East Campus Horse Stable,38.8516248,-76.9941429
"2208 Naylor Rd SE, Washington, DC 20020",Squirrel Park,38.8709361,-76.9746693
"McChord St, Washington, DC 20032",Spinz,38.8401621,-77.014708
"Anacostia Riverwalk Trail, Washington, DC 20003",Sousa Bridge Wayside,38.877653,-76.9791607
"2842 Arnold Ave SW, Washington, DC 20032",Slip Inn Bar & Grill,38.8345371,-77.0235514
"2333 Skyland Pl SE, Washington, DC 20020",Skyland Apartments,38.8613154,-76.9697382
"2516 Sheridan Rd SE, Washington, DC 20020",Sheridan Station,38.8619975,-76.9941973
"Sharks fish and chicken, Temple Hills, MD 20020",Sharks Fried chicken &Fish,38.8513978,-76.9832002
"2927 Martin Luther King Jr Ave SE, Washington, DC 20020",Sharks Fish & Chicken,38.8453928,-76.9974063
