name_only,img_urls,img_files,address_only
Swarovski,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Swarovski_1a.jpg?itok=H9wUjLyk,sitesdefaultfilesstyleslocationteaserpublicshoppingswarovski1a.jpg,"1565 Broadway, NY"
Citizen Watch,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_CitizenWatch1.jpg?itok=UWCdlPPy,sitesdefaultfilesstyleslocationteaserpublicshoppingcitizenwatch1.jpg,"1500 Broadway, NY"
Hershey's Chocolate World,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Hershey%27s_1.jpg?itok=1FcxPuTT,sitesdefaultfilesstyleslocationteaserpublicshoppinghershey27s1.jpg,"701 Seventh Ave, NY"
Swatch,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Swatch_1.jpeg?itok=9N_3pJ5i,sitesdefaultfilesstyleslocationteaserpublicswatch1.jpeg,"1535 Broadway, NY"
Aldo Shoes,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Aldo_1.jpeg?itok=lSs5OuMR,sitesdefaultfilesstyleslocationteaserpublicaldo1.jpeg,"218 W 42nd St, NY"
M.A.C Cosmetics,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Retail_MAC1-compressor.jpg?itok=_1J1wil7,sitesdefaultfilesstyleslocationteaserpublicretailmac1compressor.jpg,"1540 Broadway, NY"
Kiko Milano,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Kiko_1.jpg?itok=NbW8AesN,sitesdefaultfilesstyleslocationteaserpublicshoppingkiko1.jpg,"1515 Broadway, NY"
Martinique Jewelers,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Retail_MartiniqueJewelers_1-compressor.jpg?itok=S8scHBpT,sitesdefaultfilesstyleslocationteaserpublicretailmartiniquejewelers1compressor.jpg,"750 Seventh Ave, NY"
Inglot,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Inglot1.jpg?itok=N63h8_to,sitesdefaultfilesstyleslocationteaserpublicshoppinginglot1.jpg,"1592 Broadway, NY"
M&M's World,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Retail_MMWorld_1.jpg?itok=tpsX7rqi,sitesdefaultfilesstyleslocationteaserpublicretailmmworld1.jpg,"1600 Broadway, NY"
