loc searched,loc_url,lat,lon,name_only,address_only,pulse_address,loc_type,num_reviews,avg_review,temp_perm_closed,price_level,website,hours,phone_number,img_url,Service options,Highlights,Popular for,Accessibility,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,Health & safety,Planning
"Dunkin, 5889 Forbes Ave, Pittsburgh, PA","https://www.google.com/maps/place/Dunkin'/@40.4382003,-79.9196009,17z/data=!3m1!4b1!4m5!3m4!1s0x8834f20009406951:0xcc71f5962f794b11!8m2!3d40.4382003!4d-79.9196009",40.4382003,-79.9196009,Dunkin',"5889 Forbes Ave, Pittsburgh, PA 15217 ","C3QJ+75 Pittsburgh, Pennsylvania",Coffee shop,501,4.0,,Inexpensive,dunkindonuts.com,"Tuesday, 5AM to 8PM; Wednesday, 5AM to 8PM; Thursday, 5AM to 8PM; Friday, 5AM to 8PM; Saturday, 5AM to 8PM; Sunday, 5AM to 6PM; Monday, 5AM to 8PM.",(412) 521-2618,https://lh5.googleusercontent.com/p/AF1QipOPJlbNR4pHc7HZ_0lpdab7TXtnhznGLVIkTu_8=w408-h306-k-no,"['Offers delivery', 'Offers takeout', 'Serves dine-in']","['Has fast service', 'Serves great coffee', 'Serves great dessert']","['Popular for breakfast', 'Good for solo dining', 'Good for working on laptop']","['Has wheelchair accessible entrance', 'Has wheelchair accessible parking lot', 'Has wheelchair accessible restroom']","['Serves coffee', 'Serves comfort food', 'Serves happy hour drinks', 'Serves late-night food', 'Quick bite', 'Serves vegetarian options']","['Serves breakfast', 'Serves lunch', 'Serves dessert']","['Good for kids', 'High chairs available', 'Has restroom', 'Free Wi-Fi']","['Casual', 'Cozy']","['Popular with college students', 'Family-friendly', 'Good for groups', 'Popular with tourists']","['Accepts debit cards', 'Accepts NFC mobile payments']",,
"Fuku Tea, South Craig Street, Pittsburgh, PA","https://www.google.com/maps/place/Fuku+Tea/@40.4456927,-79.9490221,17z/data=!3m1!4b1!4m5!3m4!1s0x8834f3a63349ed07:0xf0dfb922bc857e46!8m2!3d40.4456927!4d-79.9490221",40.4456927,-79.9490221,Fuku Tea,"300 S Craig St, Pittsburgh, PA 15213 ","C3W2+79 Pittsburgh, Pennsylvania",Bubble tea store,21,4.5,,Inexpensive,fukutea.com,"Tuesday, 11AM to 8PM; Wednesday, 11AM to 8PM; Thursday, 11AM to 8PM; Friday, 11AM to 8PM; Saturday, 11AM to 8PM; Sunday, 11AM to 8PM; Monday, 11AM to 8PM.",(412) 681-8889,https://lh5.googleusercontent.com/p/AF1QipPbVgNb9NKixCO8x_5jrhpssEj1IESqWDrSwcb_=w408-h306-k-no,"['Has outdoor seating', 'Offers delivery', 'Offers takeout', 'No dine-in']","['Has fast service', 'Has great tea selection']",,['Has wheelchair accessible entrance'],['Serves coffee'],,['Good for kids'],['Casual'],"['Popular with college students', 'Family-friendly']",['Accepts NFC mobile payments'],,
"Good Hope Marketplace, 2845 Alabama Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Good+Hope+Marketplace/@38.859661,-76.9664542,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9a05ae984f1:0x65bc9bce90c8a95c!8m2!3d38.859661!4d-76.9664542",38.859660999999996,-76.9664542,Good Hope Marketplace,"2845 Alabama Ave SE, Washington, DC 20020 ","V25M+VC Washington, District of Columbia",Business center,"1,062",3.8,,,,"Tuesday, 5AM to 12AM; Wednesday, 5AM to 12AM; Thursday, 5AM to 12AM; Friday, 5AM to 12AM; Saturday, 5AM to 12AM; Sunday, 5AM to 12AM; Monday, 5AM to 12AM.",,https://lh5.googleusercontent.com/p/AF1QipNjYR0GbH0pXRKOtLAFBGlHhUgNxi2mjxOgsA6T=w408-h342-k-no,,,,,,,,,,,,
"Hidden Harbor, Shady Ave, Pittsburgh, PA","https://www.google.com/maps/place/Hidden+Harbor/@40.4376352,-79.9194888,17z/data=!3m1!4b1!4m5!3m4!1s0x8834f20006c6912d:0x8e247bb9b00a5afe!8m2!3d40.4376377!4d-79.9194526",40.4376377,-79.9194526,Hidden Harbor,"1708 Shady Ave, Pittsburgh, PA 15217 ","C3QJ+36 Pittsburgh, Pennsylvania",Bar,507,4.6,,Moderate,hiddenharborpgh.com,"Tuesday, 5 to 10PM; Wednesday, 5 to 10PM; Thursday, 5 to 10PM; Friday, 5 to 10PM; Saturday, 3 to 10PM; Sunday, Closed; Monday, Closed.",(412) 422-5040,https://lh5.googleusercontent.com/p/AF1QipN9LG5VUv1ejBFn7S3MLB_ZrwEvECsD50Mfcx8G=w408-h311-k-no,"['Has outdoor seating', 'Offers curbside pickup', 'Offers takeout', 'Serves dine-in', 'No delivery']","['Has fast service', 'Has great bar food', 'Serves great cocktails']",,['Has wheelchair accessible entrance'],"['Serves alcohol', 'Serves beer', 'Serves cocktails', 'Serves food', 'Serves food at bar', 'Serves happy hour drinks', 'Serves happy hour food', 'Serves hard liquor', 'Serves wine']",,,"['Casual', 'Cozy']","['Good for groups', 'Popular with tourists']",,"['Mask required', 'Staff required to disinfect surfaces between visits']",
"Hillside Terrace, 1823 23rd St SE, Washington, DC 20020","https://www.google.com/maps/place/Hillside+Terrace/@38.8669673,-76.9733205,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9a59dc65073:0x9ad35291fc52fd3f!8m2!3d38.8669673!4d-76.9733205",38.86696729999999,-76.9733205,Hillside Terrace,"1823 23rd St SE, Washington, DC 20020 ","V28G+QM Washington, District of Columbia",Apartment building,8,2.1,,,hillsideterracedc.com,"Tuesday, 8AM to 5PM; Wednesday, 8AM to 5PM; Thursday, 8AM to 5PM; Friday, 8AM to 5PM; Saturday, Closed; Sunday, Closed; Monday, 8AM to 5PM.",(202) 575-2575,https://lh5.googleusercontent.com/p/AF1QipMfJTABv_Y_ldh18j79SrERPC_GGWWArQNG0d_d=w434-h240-k-no,,,,,,,,,,,,
"Honfleur Gallery, 1241 Good Hope Rd SE, Washington, DC 20020","https://www.google.com/maps/place/Honfleur+Gallery/@38.8669917,-76.9873278,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9b8820032c1:0xfd3fca5459b39b6a!8m2!3d38.8670645!4d-76.9873053",38.867064500000005,-76.9873053,Honfleur Gallery,"1241 Good Hope Rd SE, Washington, DC 20020 ","V287+Q3 Washington, District of Columbia",,,4.8,Permanently closed,,honfleurgallery.com,"Tuesday, Closed; Wednesday, 12 to 7PM; Thursday, 12 to 7PM; Friday, 12 to 7PM; Saturday, 12 to 7PM; Sunday, Closed; Monday, Closed.",(202) 365-8392,https://lh5.googleusercontent.com/p/AF1QipPt7_RFsvmlqRZgMPicG9V2XXSNFpGY1zEbqRaM=w426-h240-k-no,,,,,,,['No restaurant'],,,,,
"Hong Kong Delite Carry Out, 3123 Martin Luther King Jr Ave SE, Washington, DC 20032","https://www.google.com/maps/place/Hong+Kong+Delite+Carry+Out/@38.8434074,-77.0001246,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9f8334ba047:0xf7751d64cade8a6!8m2!3d38.8433304!4d-77.0000599",38.8433304,-77.00005990000001,Hong Kong Delite Carry Out,"3123 Martin Luther King Jr Ave SE, Washington, DC 20032 ","RXVX+9X Washington, District of Columbia",Chinese restaurant,247,3.7,,Inexpensive,runinout.com,"Tuesday, 11AM to 11PM; Wednesday, 11AM to 11PM; Thursday, 11AM to 11PM; Friday, 11AM to 12AM; Saturday, 11AM to 12AM; Sunday, 12 to 11PM; Monday, 11AM to 11PM.",(202) 562-7047,https://lh5.googleusercontent.com/p/AF1QipOZBYCm81vst4SlErdaadiuGnK6K7HyCB03xewN=w408-h306-k-no,"['Offers takeout', 'No delivery', 'No dine-in']",,"['Popular for lunch', 'Popular for dinner']",,"['Serves comfort food', 'Serves late-night food', 'Quick bite']",,,['Casual'],,['Cash-only'],['Mask required'],['Usually has a wait']
"IBe' Arts, 1239 V St SE, Washington, DC 20020","https://www.google.com/maps/place/IBe'+Arts/@38.8653472,-76.9881239,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c74e3a56c1:0x73659239d5abb45!8m2!3d38.8653957!4d-76.9881096",38.86539570000001,-76.98810959999999,IBe' Arts,"1239 V St SE, Washington, DC 20020 ","V286+4Q Washington, District of Columbia",Art gallery,,,,,ibearts.com,"Tuesday, 7AM to 10PM; Wednesday, 7AM to 10PM; Thursday, 7AM to 10PM; Friday, 7AM to 12AM; Saturday, Open 24 hours; Sunday, 12AM to 10PM; Monday, 7AM to 10PM.",(202) 215-3484,https://lh5.googleusercontent.com/p/AF1QipMCNrOqnHvo7x1oJUewjbzh3BCnSahFUwf0-7Ti=w408-h408-k-no,,,,,,,,,,,,
"IHOP, 1523 Alabama Ave SE, Washington, DC 20032","https://www.google.com/maps/place/IHOP/@38.8459537,-76.9827333,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b98c346f2077:0x780ce0ecb662e95e!8m2!3d38.8460616!4d-76.9827344",38.846061600000006,-76.9827344,IHOP,"1523 Alabama Ave SE, Washington, DC 20032 ","R2W8+9W Washington, District of Columbia",Restaurant,890,3.5,,Inexpensive,restaurants.ihop.com,"Tuesday, 7AM to 10PM; Wednesday, 7AM to 10PM; Thursday, 7AM to 10PM; Friday, 7AM to 12AM; Saturday, Open 24 hours; Sunday, 12AM to 10PM; Monday, 7AM to 10PM.",(202) 563-5890,https://lh4.googleusercontent.com/proxy/3MYI5l1edTHsp1ZESQRyta_EhXawo56o9OR2cYrDXRxISnYZZEISs9S4hFHcLXZkocELoBBWz5BKygWCXb51MRhUfhMCPwbxAYBJdvBiO7KebhwV_644o0jcimpjgV-3QgkVvGlCNGDxzsAmOOQWAtM5SPNs8A=w408-h270-k-no,"['Offers curbside pickup', 'Offers delivery', 'Offers takeout', 'Serves dine-in']","['Has fireplace', 'Serves great coffee', 'Has great tea selection']","['Popular for breakfast', 'Popular for lunch', 'Popular for dinner', 'Good for solo dining']","['Has wheelchair accessible entrance', 'Has wheelchair accessible parking lot', 'No wheelchair accessible restroom']","['Serves coffee', 'Serves happy hour drinks', 'Serves healthy options', ""Has kids' menu"", 'Serves late-night food', 'Serves organic dishes', 'Quick bite', 'Has salad bar', 'Serves small plates']","['Serves breakfast', 'Serves lunch', 'Serves dinner', 'Has seating']",['Good for kids'],"['Casual', 'Cozy']","['Family-friendly', 'Good for groups', 'Popular with tourists']",['Accepts debit cards'],['Mask required'],
"Jasmine's Hair Gallery, 2202 Martin Luther King Jr Ave SE, Washington, DC 20020","https://www.google.com/maps/place/Jasmine's+Hair+Gallery/@38.8647082,-76.9896651,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b9c0d16c10c5:0x6991203eba436cd0!8m2!3d38.8647276!4d-76.9897096",38.8647276,-76.98970959999998,Jasmine's Hair Gallery,"2202 Martin Luther King Jr Ave SE, Washington, DC 20020 ","V276+V4 Washington, District of Columbia",Beauty salon,89,4.5,,,,"Tuesday, 9AM to 7PM; Wednesday, 9AM to 7PM; Thursday, 9AM to 7PM; Friday, 9AM to 7PM; Saturday, 7AM to 6PM; Sunday, 9AM to 7PM; Monday, 9AM to 5PM.",(202) 678-7095,https://lh5.googleusercontent.com/p/AF1QipPUhD-KGx8wNgizR_MMu44zBTu6WMMBFAkyTLEN=w426-h240-k-no,,,,,,,,,,,,
